date, value
1991-01-02,261.3900
1991-01-03,259.4000
1991-01-04,261.0000
1991-01-07,259.4100
1991-01-08,259.1800
1991-01-09,260.0100
1991-01-10,256.9900
1991-01-11,255.6700
1991-01-14,257.0800
1991-01-15,259.5700
1991-01-16,260.7900
1991-01-17,255.5700
1991-01-18,258.8300
1991-01-21,259.2700
1991-01-22,257.4200
1991-01-23,258.2600
1991-01-24,259.0400
1991-01-25,259.5000
1991-01-28,258.9900
1991-01-29,259.0400
1991-01-30,257.4800
1991-01-31,258.3300
1991-02-01,259.3800
1991-02-04,258.9800
1991-02-05,258.0900
1991-02-06,256.9800
1991-02-07,255.9800
1991-02-08,254.3300
1991-02-11,255.3700
1991-02-12,256.3100
1991-02-13,257.5200
1991-02-14,256.9000
1991-02-15,256.7400
1991-02-19,256.8800
1991-02-20,256.4200
1991-02-21,257.1000
1991-02-22,257.3700
1991-02-25,257.2600
1991-02-26,255.3000
1991-02-27,253.8500
1991-02-28,254.3100
1991-03-01,255.3200
1991-03-04,257.6000
1991-03-05,258.0200
1991-03-06,257.4800
1991-03-07,256.2600
1991-03-08,255.2300
1991-03-11,255.6700
1991-03-12,253.0000
1991-03-13,253.1400
1991-03-14,251.9000
1991-03-15,251.3000
1991-03-18,247.9500
1991-03-19,245.5100
1991-03-20,247.1000
1991-03-21,245.8300
1991-03-22,245.2700
1991-03-25,243.3400
1991-03-26,244.1100
1991-03-27,243.5300
1991-03-28,245.8100
1991-04-01,246.4900
1991-04-02,245.1200
1991-04-03,243.1800
1991-04-04,242.8300
1991-04-05,241.3000
1991-04-08,241.7800
1991-04-09,241.7000
1991-04-10,244.2400
1991-04-11,243.5500
1991-04-12,242.2500
1991-04-15,240.4200
1991-04-16,240.8000
1991-04-17,243.0700
1991-04-18,241.1600
1991-04-19,238.0100
1991-04-22,236.2000
1991-04-23,235.5900
1991-04-24,234.4000
1991-04-25,233.0200
1991-04-26,233.3700
1991-04-29,231.8100
1991-04-30,235.7300
1991-05-01,237.7900
1991-05-02,237.3200
1991-05-03,234.9900
1991-05-06,236.2200
1991-05-07,237.9800
1991-05-08,237.8100
1991-05-09,237.1200
1991-05-10,238.9500
1991-05-13,241.5600
1991-05-14,240.6200
1991-05-15,240.4000
1991-05-16,240.5400
1991-05-17,236.5900
1991-05-20,237.6500
1991-05-21,238.4000
1991-05-22,238.0000
1991-05-23,238.7700
1991-05-24,239.8800
1991-05-28,240.1800
1991-05-29,238.5000
1991-05-30,236.0200
1991-05-31,234.7000
1991-06-03,236.0000
1991-06-04,235.4000
1991-06-05,235.7900
1991-06-06,234.7500
1991-06-07,234.3700
1991-06-10,236.0400
1991-06-11,233.9000
1991-06-12,232.5700
1991-06-13,230.7700
1991-06-14,229.6100
1991-06-17,228.7600
1991-06-18,226.8700
1991-06-19,229.0100
1991-06-20,225.8200
1991-06-21,225.7700
1991-06-24,228.3100
1991-06-25,225.2700
1991-06-26,226.6900
1991-06-27,224.8900
1991-06-28,222.7300
1991-07-01,222.4800
1991-07-02,222.1400
1991-07-03,224.0400
1991-07-05,223.5100
1991-07-08,226.2400
1991-07-09,224.9700
1991-07-10,224.6200
1991-07-11,222.3800
1991-07-12,225.0600
1991-07-15,225.9900
1991-07-16,225.2100
1991-07-17,225.8000
1991-07-18,228.8700
1991-07-19,230.9900
1991-07-22,230.9100
1991-07-23,230.2700
1991-07-24,232.5000
1991-07-25,232.1300
1991-07-26,231.1700
1991-07-29,231.7100
1991-07-30,231.1200
1991-07-31,231.3500
1991-08-01,230.1600
1991-08-02,231.9500
1991-08-05,233.4200
1991-08-06,232.2800
1991-08-07,232.6300
1991-08-08,232.2400
1991-08-09,231.2300
1991-08-12,231.6200
1991-08-13,230.7000
1991-08-14,230.1700
1991-08-15,229.0600
1991-08-16,227.5200
1991-08-19,224.4100
1991-08-20,225.6700
1991-08-21,230.5300
1991-08-22,230.8400
1991-08-23,229.5000
1991-08-26,229.7600
1991-08-27,229.9900
1991-08-28,230.7500
1991-08-29,230.7400
1991-08-30,229.8800
1991-09-03,229.9600
1991-09-04,229.4400
1991-09-05,229.9800
1991-09-06,232.9600
1991-09-09,233.0400
1991-09-10,232.7400
1991-09-11,233.5400
1991-09-12,232.0900
1991-09-13,231.7100
1991-09-16,232.1300
1991-09-17,233.0800
1991-09-18,232.2200
1991-09-19,232.5100
1991-09-20,232.2100
1991-09-23,231.2300
1991-09-24,230.6800
1991-09-25,231.1500
1991-09-26,231.3100
1991-09-27,231.9300
1991-09-30,232.4600
1991-10-01,232.7800
1991-10-02,231.8100
1991-10-03,228.5700
1991-10-04,225.3800
1991-10-07,224.8200
1991-10-08,221.8400
1991-10-09,223.2400
1991-10-10,223.4300
1991-10-11,223.1300
1991-10-14,222.0500
1991-10-15,221.0900
1991-10-16,222.0200
1991-10-17,222.2300
1991-10-18,224.0300
1991-10-21,224.4300
1991-10-22,224.4600
1991-10-23,223.5200
1991-10-24,224.4800
1991-10-25,225.0600
1991-10-28,224.0900
1991-10-29,225.6800
1991-10-30,228.2800
1991-10-31,227.6400
1991-11-01,229.1800
1991-11-04,229.0700
1991-11-05,230.3300
1991-11-06,230.1500
1991-11-07,229.9100
1991-11-08,230.0800
1991-11-11,230.0500
1991-11-12,229.7900
1991-11-13,230.5200
1991-11-14,230.2000
1991-11-15,230.7800
1991-11-18,231.7900
1991-11-19,233.4200
1991-11-20,233.1800
1991-11-21,232.0800
1991-11-22,231.9900
1991-11-25,229.1600
1991-11-26,230.6700
1991-11-27,229.6600
1991-11-29,229.5700
1991-12-02,230.4700
1991-12-03,229.3900
1991-12-04,230.3700
1991-12-05,231.0300
1991-12-06,230.9900
1991-12-09,232.0500
1991-12-10,232.6900
